Session,Borough,Swimming Pool,Class Type,StartTime,Total Registration,Total Attendance,ClassName
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,01/22/2024 06:00:00 PM,7,4,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Mondays
,Q,Roy Wilkins Recreation Center,,05/10/2024 07:15:00 PM,12,2,Roy Wilkins Senior Learn To Swim - Friday (Advanced)
,M,Gertrude Ederle Recreation Center,,05/07/2024 08:00:00 PM,34,18,Gertrude Ederle Children Learn to Swim: Tuesdays
,M,Constance Baker Motley Recreation Center,,11/01/2022 08:00:00 PM,21,7,Constance Baker Motley Learn to Swim: Children - Tuesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3-6,05/25/2024 03:00:00 PM,5,1,"FMAC Learn to Swim: Children Water Test Level 3-6, Saturday 11am"
3,X,Crotona Pool,Level 1,08/17/2023 06:00:00 PM,48,13,Session 3: Crotona Pool - Children's Learn to Swim Level 1 (Class B)
,Q,Roy Wilkins Recreation Center,Level 1,02/05/2022 05:00:00 PM,13,13,Roy Wilkins Learn to Swim: Children Level 1
,,Offsite Locations,,04/13/2023 02:00:00 PM,22,5,Holiday Learn to Swim George Washington High School Class A
,B,Red Hook Pool,Level 1B,07/20/2023 06:00:00 PM,48,28,Session l Children Learn to Swim Red Hook Pool Level 1B
1,,Hamilton Fish Pool,Level 2,07/17/2024 11:00:00 AM,,13,Session 1: Hamilton Fish Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,04/27/2023 08:00:00 PM,1,1,Learn to Swim: Children ADV. Swimmer Level 5
,Q,Roy Wilkins Recreation Center,Level 1,03/11/2023 04:30:00 PM,14,8,Roy Wilkins Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,11/23/2024 07:00:00 PM,10,8,FMAC: Children's Learn to Swim (Level 2)
,M,Chelsea Recreation Center,,12/28/2022 04:00:00 PM,3,2,Holiday Learn to Swim Chelsea Class B
1,,Hamilton Fish Pool,Level 1,07/09/2024 05:00:00 PM,47,17,Session 1: Hamilton Fish Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,08/07/2024 09:00:00 PM,20,15,FMAC: Children's Learn to Swim (Level 5)
,M,Constance Baker Motley Recreation Center,Tot,06/17/2023 03:30:00 PM,10,6,Constance Baker Motley Learn to Swim: Tots - Saturdays
,M,Gertrude Ederle Recreation Center,,11/19/2024 09:00:00 PM,31,14,Gertrude Ederle: Afterschool Learn to Swim
1,X,Crotona Pool,Level 1,07/18/2024 05:00:00 PM,,24,Session 1: Crotona Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,04/08/2023 05:15:00 PM,8,5,Learn to Swim: Adult Beginner Level 1 - Saturdays
1,B,Red Hook Pool,Level 2,07/17/2024 12:00:00 PM,,22,Session 1: Red Hook Pool - Children's Learn to Swim  Level 2 (Class B)
,B,St. John's Recreation Center,Adult,10/22/2022 05:15:00 PM,25,25,St. John's Learn to Swim: Adults
,Q,Roy Wilkins Recreation Center,,05/18/2022 05:45:00 PM,3,3,Roy Wilkins Senior Learn to Swim (Wednesday)
3,,Astoria Pool,Level 1,08/22/2024 05:00:00 PM,,31,Session 3: Astoria Pool - Children's Learn to Swim Level 1 (Class A)
,B,St. John's Recreation Center,Adult,03/23/2024 05:00:00 PM,32,3,St. John's Learn to Swim: Adults
,B,St. John's Recreation Center,,10/29/2022 04:00:00 PM,50,35,St. John's Learn to Swim: Children - Saturdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,08/26/2023 02:00:00 PM,15,7,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Saturdays,10am)"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,05/16/2023 11:00:00 PM,9,3,"Learn to Swim: Children ADV. Beginner Level 2 - Tuesdays, 7pm"
,Q,Roy Wilkins Recreation Center,Level 2,05/11/2024 02:30:00 PM,25,5,Roy Wilkins Recreation Center - Children Learn to Swim Level 2 - Saturday
,Q,Roy Wilkins Recreation Center,,05/25/2022 05:45:00 PM,3,3,Roy Wilkins Senior Learn to Swim (Wednesday)
,M,Gertrude Ederle Recreation Center,Tot,02/24/2024 04:30:00 PM,24,11,Gertrude Ederle Learn to Swim: Tots - Saturday
,B,Metropolitan Pool & Recreation Center,,12/22/2021 09:00:00 PM,11,7,Metropolitan Learn to Swim: Children
,M,Chelsea Recreation Center,Adult,05/31/2022 03:00:00 PM,3,4,Adult Learn To Swim
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,10/30/2023 11:00:00 PM,3,3,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Mondays
,M,Gertrude Ederle Recreation Center,,05/30/2023 08:00:00 PM,30,8,Gertrude Ederle Learn to Swim: Children - Tuesdays
,Q,Roy Wilkins Recreation Center,Level 1,10/21/2023 03:30:00 PM,29,15,Roy Wilkins Recreation Center - Children's Learn to Swim Level 1 (Saturdays)
,Q,Flushing Meadows Corona Park Aquatics Center,,08/17/2023 11:00:00 PM,12,10,"Flushing Meadows Aquatics Center-Children's Learn to Swim (Thursday,7pm)"
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,10/30/2024 05:00:00 PM,20,13,FMAC: Adult Learn to Swim (Level 1)
,M,Constance Baker Motley Recreation Center,,12/06/2022 09:00:00 PM,21,5,Constance Baker Motley Learn to Swim: Children - Tuesdays
3,X,Crotona Pool,Level 2,08/15/2024 03:00:00 PM,,21,Session 3: Crotona Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,10/26/2024 04:00:00 PM,7,5,FMAC: Parent and Tiny Tots Learn to Swim
,M,Chelsea Recreation Center,Adult,02/10/2022 04:00:00 PM,11,8,Adult Learn To Swim - George
,Q,Fisher Pool,Level 2B,07/14/2023 04:00:00 PM,16,8,Session l Children Learn to Swim Fisher Pool Level 2B
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,06/22/2023 08:00:00 PM,10,7,"Learn to Swim: Children Intermediate Level 3 - Thursdays, 4pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,03/20/2024 10:00:00 PM,9,9,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Wednesdays, 6pm"
,M,Constance Baker Motley Recreation Center,Level 2,07/15/2024 05:00:00 PM,21,13,Constance Baker Motley Recreation Center: Children's Learn to Swim (Level 2)
